species,family,order,class,phylum,Lat,Lon,depth,minimumDepthInMeters,maximumDepthInMeters,ObservationDate,occurrenceID,decimalLatitude,decimalLongitude,source
Parastenella ramosa,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41o 20.99’S,42o 55.12’E,NA,NA,NA,12-Nov-11,JC066-0208,-41.34983,42.91867,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,36°47.798′S,052°6.315′E,500,300,700,07-Dec-11,NHMUK 2016.19 (JC066-3824),-36.796633,52.10525,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°20.708′S,42°55.2922′E,1365,1365,1365,12-Nov-11,NHMUK 2016.20 (JC066-216),-41.345133,42.921537,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°20.708′S,42°55.2922′E,1365,1365,1365,12-Nov-11,NHMUK 2016.21 (JC066-217),-41.345133,42.921537,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°20.708′S,42°55.2922′E,1365,1365,1365,12-Nov-11,NHMUK 2016.22 (JC066-212),-41.345133,42.921537,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1332,1332,1332,13-Nov-11,NHMUK 2016.23 (JC066-640),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1332,1332,1332,13-Nov-11,NHMUK 2016.24 (JC066-641),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1332,1332,1332,13-Nov-11,NHMUK 2016.25 (JC066-643),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1332,1332,1332,13-Nov-11,NHMUK 2016.26 (JC066-644),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1332,1332,1332,13-Nov-11,NHMUK 2016.27 (JC066-645),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1332,1332,1332,13-Nov-11,NHMUK 2016.28 (JC066-647),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1066,800,1332,13-Nov-11,NHMUK 2016.29 (JC066-716),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1066,800,1332,13-Nov-11,NHMUK 2016.30 (JC066-717),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1066,800,1332,13-Nov-11,NHMUK 2016.31 (JC066-718),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella gilchristi,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°22′48.780′S,42°51′09.109′E,1066,800,1332,13-Nov-11,NHMUK 2016.32 (JC066-719),-41.380217,42.85253,"Taylor and Rogers, 2017"
Narella speighti,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,32°42.862′S,57°14.666′E,870,870,870,10-Dec-11,NHMUK 2016.33 (JC066-3719),-32.714367,57.244433,"Taylor and Rogers, 2017"
Narella valentine,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,36°48′10.284′S,52°06′55.706′E,413.5,383,444,Dec-11,NHMUK 2016.34 (JC66-3807),-36.802857,52.115474,"Taylor and Rogers, 2017"
Narella valentine,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,36°48′10.284′S,52°06′55.706′E,413.5,383,444,Dec-11, NHMUK 2016.35 (JC066-3808),-36.802857,52.115474,"Taylor and Rogers, 2017"
Narella valentine,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,36°48′10.284′S,52°06′55.706′E,413.5,383,444,Dec-11,NHMUK 2016.36 (JC066-3813),-36.802857,52.115474,"Taylor and Rogers, 2017"
Narella candidae,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,32°41′55.177′S,57°17′40.325′E,763,763,763,13-Dec-11,NHMUK 2016.37 (JC066-3746),-32.69866,57.294535,"Taylor and Rogers, 2017"
Primnoa bisquama,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,41°21′20.103′S,42°55′8.423′E,952,952,952,14-Nov-11,NHMUK 2016.38 (JC066-960),-41.355584,42.919006,"Taylor and Rogers, 2017"
Primnoa bisquama,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,37°56′37.200′S,50°27′06.450′E,1339,1339,1339,02-Dec-11,NHMUK 2016.39 (JC066-3518),-37.943667,50.451792,"Taylor and Rogers, 2017"
Primnoa bisquama,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,37°56′36.986′S,50°26′46.044′E,1309,1309,1309,02-Dec-11,NHMUK 2016.40 (JC066-3568),-37.943607,50.446123,"Taylor and Rogers, 2017"
Primnoa bisquama,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,37°56′36.986′S,50°26′46.044′E,1309,1309,1309,02-Dec-11,NHMUK 2016.41 (JC066-3569),-37.943607,50.446123,"Taylor and Rogers, 2017"
Primnoeides sertularoides,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,38°27′47.014′S,46°45′28.880′E,572,572,572,24-Nov-11,NHMUK 2016.42 (JC066-3149),-38.463059,46.758022,"Taylor and Rogers, 2017"
Primnoeides sertularoides,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,38°27′47.014′S,46°45′28.880′E,572,572,572,24-Nov-11,NHMUK 2016.43 (JC066-3165),-38.463059,46.758022,"Taylor and Rogers, 2017"
Primnoeides sertularoides,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,38°27′47.014′S,46°45′28.880′E,572,572,572,24-Nov-11,NHMUK 2016.44 (JC066-3174),-38.463059,46.758022,"Taylor and Rogers, 2017"
Primnoeides sertularoides,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,38°27′47.014′S,46°45′28.880′E,572,572,572,24-Nov-11,NHMUK 2016.45 (JC066-3181),-38.463059,46.758022,"Taylor and Rogers, 2017"
Primnoeides sertularoides,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,38°27′35.8′S,46°45′16.03′E,693,693,693,24-Nov-11,NHMUK 2016.46 (JC066-3202),-38.459944,46.754453,"Taylor and Rogers, 2017"
Primnoeides flagellum,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,38°29′35.476′S,46°45′36.036′E,1020,1020,1020,26-Nov-11,NHMUK 2016.47 (JC066-3297),-38.493188,46.76001,"Taylor and Rogers, 2017"
Primnoeides flagellum,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,38°29′58.220′S,46°45′37.531′E,1087,1087,1087,26-Nov-11,NHMUK 2016.49 (JC66-3291),-38.493188,46.76001,"Taylor and Rogers, 2017"
Primnoeides flagellum,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,37°56′37.360′S,50°27′06.37′E,1339,1339,1339,02-Dec-11,"NHMUK 2017.1, (JC66-3527, 29 cm tall colony)",-37.943711,50.451769,"Taylor and Rogers, 2017"
Primnoeides flagellum,Primnoidae,Alcyonacea,Anthozoa,Cnidaria,37°56′37.360′S,50°27′06.37′E,1339,1339,1339,02-Dec-11,"NHMUK 2016.48 (JC66-3564, 28 cm tall colony)",-37.943711,50.451769,"Taylor and Rogers, 2017"
