"","species","cluster","Endemism","Occ.Ri","Occ.Di","Occ.Ai","Occ.Fi","Occ.IndVal","Occ.DilVal","Ri","Di","Ai","Fi","IndVal","DilVal"
"Ctenocidaris (Eurocidaris) nutrix","Ctenocidaris (Eurocidaris) nutrix","2.1",FALSE,23,33,0.851851851851852,0.696969696969697,0.59371492704826,0.258136924803591,185400.713701129,261467.127774265,0.853055026582914,0.709078480646304,0.604882962157105,0.248172064425809
"Lobophyllia hemprichii","Lobophyllia hemprichii","1.1",FALSE,50,51,0.549450549450549,0.980392156862745,0.538677009265245,0.0107735401853049,590651.048878834,602937.526205408,0.54840440456728,0.979622304480037,0.537229186589201,0.0111752179780789
"Galaxea fascicularis","Galaxea fascicularis","1.1",FALSE,51,55,0.56043956043956,0.927272727272727,0.51968031968032,0.0407592407592408,604444.021796955,651154.380079926,0.56121082743698,0.9282653089468,0.520952542115078,0.0402582853219026
"Favites pentagona","Favites pentagona","1.1",FALSE,51,55,0.56043956043956,0.927272727272727,0.51968031968032,0.0407592407592408,601141.705488057,648699.098223121,0.558144711136143,0.926688054807952,0.517226036664098,0.0409186744720442
"Proagnesia depressa","Proagnesia depressa","3.1",FALSE,10,13,0.666666666666667,0.769230769230769,0.512820512820513,0.153846153846154,118437.741821534,155013.206747446,0.667869209457675,0.764049362674613,0.510285043836134,0.157584165621541
"Fungia fungites","Fungia fungites","1.1",FALSE,51,57,0.56043956043956,0.894736842105263,0.501445922498554,0.0589936379410064,605284.62825083,676160.746392405,0.561991309047379,0.895178596924285,0.503082591516675,0.0589087175307041
"Pavona varians","Pavona varians","1.1",FALSE,50,55,0.549450549450549,0.909090909090909,0.4995004995005,0.04995004995005,592621.561678487,651727.239738732,0.550233975344538,0.909309179582643,0.500332804699038,0.0499011706454999
"Porites lutea","Porites lutea","1.1",FALSE,49,53,0.538461538461538,0.924528301886792,0.497822931785196,0.0406386066763425,580812.028163215,626384.488730905,0.539269125272819,0.927245228150489,0.50003472309811,0.0392344021747092
"Platygyra daedalea","Platygyra daedalea","1.1",FALSE,49,53,0.538461538461538,0.924528301886792,0.497822931785196,0.0406386066763425,577294.448123256,623146.301707734,0.53600314209884,0.92641879850876,0.496563386900127,0.0394397551987123
"Astrea curta","Astrea curta","1.1",FALSE,46,47,0.505494505494505,0.978723404255319,0.494739303249942,0.010755202244564,541460.705345993,552409.995319702,0.502732427675351,0.980179051670902,0.492767794203035,0.00996463347231516
"Cyphastrea microphthalma","Cyphastrea microphthalma","1.1",FALSE,48,52,0.527472527472527,0.923076923076923,0.486897717666948,0.040574809805579,570523.729815138,618590.212117541,0.529716703178086,0.922296729950086,0.488555983141089,0.041160720036997
"Goniastrea pectinata","Goniastrea pectinata","1.1",FALSE,49,55,0.538461538461538,0.890909090909091,0.47972027972028,0.0587412587412588,577899.624877378,650015.385009747,0.536565033249516,0.889055302696739,0.477035988052134,0.0595290451973815
"Leptastrea transversa","Leptastrea transversa","1.1",FALSE,46,49,0.505494505494505,0.938775510204082,0.474545862300964,0.0309486431935411,544113.118491434,580721.221252789,0.505195125497446,0.936960969529612,0.473348114587721,0.0318470109097247
"Pavona explanulata","Pavona explanulata","1.1",FALSE,44,45,0.483516483516484,0.977777777777778,0.472771672771673,0.0107448107448108,519274.567711256,531561.04503783,0.482133165856853,0.976886046407521,0.470989162235843,0.0111440036210101
"Pocillopora verrucosa","Pocillopora verrucosa","1.1",FALSE,50,59,0.549450549450549,0.847457627118644,0.465636058856398,0.0838144905941516,590771.984361641,695720.648475474,0.548516690072513,0.849151143718667,0.465773574723852,0.0827431153486608
